Land.Use.and.Land.Cover.Change	Anthropogenic.biomes.of.the.world	Clinical.Antibiotic.Usage	Pesticide	Energy.Extraction.and.Production	Agricultural.Crops	Forage.Crops	Mining.and.sewage.treatment	Hydraulic.Engineering	Veterinary.Antibiotics	Global.coal.mining.industry	GDP	PM2.5	HH.ARG
-1.42683276690645e-02	 5.06492413874896e-02	-1.27791512095845e-02	 3.77282326980693e-02	 5.94353765663418e-02	 3.45455773540957e-03	-3.83701514922804e-03	-6.43837933731824e-03	-2.16639386258886e-02	-2.98834044482470e-02	-9.77016673527777e-03	 6.01782844224574e-04	-8.97761638003861e-03	6.927907422e+05
 2.56817247293584e-02	 1.76829607777463e-02	-2.81770474919477e-02	 3.29747974188848e-02	 4.35208916702369e-02	-7.56392972119987e-04	 3.29884342828315e-02	 4.88762885422701e-02	-2.58400848365631e-02	 9.11885483210090e-03	 3.49159528488675e-02	-1.08365289009045e-03	-1.34500298318422e-02	5.432076531e+05
 2.56801339898003e-02	 1.76953877434169e-02	-2.81909053200263e-02	 3.29865391458581e-02	 4.35124926841619e-02	-7.47113856331816e-04	 3.29827774931130e-02	 4.89000968244588e-02	-2.58894888141178e-02	 9.22635422854090e-03	 3.48892915566631e-02	-1.13303101835983e-03	-1.34638850771861e-02	5.404612656e+05
 2.56844892585865e-02	 1.76613640873017e-02	-2.81529641210604e-02	 3.29543915974277e-02	 4.35354881781150e-02	-7.72519047993116e-04	 3.29982651570528e-02	 4.88349123838355e-02	-2.57542261934912e-02	 8.93203278322472e-03	 3.49622872228292e-02	-9.97839170214298e-04	-1.34259509494619e-02	5.479805705e+05
-1.23853869618311e-02	 4.87481918606627e-02	-1.59739541664617e-02	 3.76272815243325e-02	 5.78241082065066e-02	 3.14701801250432e-03	-2.88131383540226e-03	-3.45234551136321e-03	-2.13414830793757e-02	-2.43215290459106e-02	-9.41245512887128e-03	-3.09256575262474e-03	-1.04514890010345e-02	5.843199223e+05
-1.23913882544187e-02	 4.87950743667194e-02	-1.60262348056821e-02	 3.76715788693590e-02	 5.77924218298019e-02	 3.18202480448165e-03	-2.90265488399513e-03	-3.36252536029018e-03	-2.15278666534779e-02	-2.39159721917047e-02	-9.51303866844037e-03	-3.27885180659978e-03	-1.05037598965187e-02	5.739587825e+05
-1.23884029372501e-02	 4.87717528658600e-02	-1.60002280267136e-02	 3.76495433457278e-02	 5.78081840815180e-02	 3.16461082647893e-03	-2.89203887122276e-03	-3.40720600786277e-03	-2.14351509467206e-02	-2.41177147033454e-02	-9.46300381958517e-03	-3.18618461081006e-03	-1.04777579645298e-02	5.791128869e+05
-1.23891017032477e-02	 4.87772116733816e-02	-1.60063153708130e-02	 3.76547011476577e-02	 5.78044946492322e-02	 3.16868687435750e-03	-2.89452373575703e-03	-3.39674771632695e-03	-2.14568526888371e-02	-2.40704933196696e-02	-9.47471535611627e-03	-3.20787499808122e-03	-1.04838441741084e-02	5.779064781e+05
-1.23920769870230e-02	 4.88004547926897e-02	-1.60322347432422e-02	 3.76766626117960e-02	 5.77887853730835e-02	 3.18604232548328e-03	-2.90510406902681e-03	-3.35221723655413e-03	-2.15492567861069e-02	-2.38694288471966e-02	-9.52458204216333e-03	-3.30023074742469e-03	-1.05097587158483e-02	5.727696962e+05
-1.32846105210646e-02	-1.83044691823331e-02	-1.41417571042985e-02	-6.41174195662950e-03	-7.29715964388350e-03	 1.65487188463692e-03	 1.03451425119759e-02	-2.05409720572388e-02	 1.60213917408747e-02	-1.46397493907073e-02	 1.94586334061598e-03	-2.35108082975933e-02	 8.08304590896398e-03	7.691668097e+05
 1.72788044683315e-02	-2.95717276309828e-02	-4.13288142900555e-02	-5.73944791208017e-03	-5.92944530386749e-03	 1.34041697976424e-02	 1.17372405073833e-02	 2.81073100568064e-02	 9.32668612162412e-03	-1.31846536062555e-02	-7.95836711234580e-04	-2.42232510623228e-03	-1.76059645024479e-02	5.045264099e+05
 1.73626790604770e-02	-3.02269616521287e-02	-4.05981354858341e-02	-6.35855149567802e-03	-5.48659372083478e-03	 1.29149117992116e-02	 1.20355048763584e-02	 2.68519757387919e-02	 1.19315993186023e-02	-1.88527518103736e-02	 6.09927669475391e-04	 1.81225140885653e-04	-1.68754218775382e-02	6.493346095e+05
 1.73234887034388e-02	-2.99208039162111e-02	-4.09395447551394e-02	-6.06927568682837e-03	-5.69351587938159e-03	 1.31435173298237e-02	 1.18961410140385e-02	 2.74385300082891e-02	 1.07144550603509e-02	-1.62043360426811e-02	-4.69149640604668e-05	-1.03528227979333e-03	-1.72167675171350e-02	5.816730579e+05
 2.39557124114761e-02	 5.90642414261817e-02	-2.51049515660467e-02	-5.82355137810586e-04	 3.16217560983861e-02	 6.24764375568938e-02	 5.60057737312677e-02	-5.98547287012453e-03	 4.74621194185274e-02	 2.88557872546167e-03	 4.70361183678076e-02	 3.79902689011437e-04	-6.13024252788974e-03	6.221313011e+05
-1.34920155910503e-02	-1.66842066625835e-02	-1.59485794643235e-02	-4.88082277359914e-03	-8.39224292503682e-03	 2.86470893790671e-03	 9.60759445672992e-03	-1.74367816770179e-02	 9.57996305424446e-03	-6.23677602596274e-04	-1.53031046012813e-03	-2.99488666821580e-02	 6.27656029310609e-03	4.110851308e+05
-1.62469872032490e-02	 1.98012047875483e-02	-1.48586108454412e-02	 9.91335732491907e-03	-1.64080970740003e-02	-1.54903777046714e-02	-4.17729498699316e-03	-7.67943376324068e-03	-7.10168706664407e-04	-5.00754454179912e-04	-1.47099715600107e-04	-2.67064698687062e-02	 6.52002629965490e-03	5.094455525e+05
 4.73044080816061e-02	 8.38834515933030e-02	-1.81926738135798e-02	-1.04008772291615e-01	-8.23502713628365e-03	 1.80544584368475e-01	-8.60072275434008e-02	-4.53758362328538e-02	-3.30376121546326e-02	-5.99833571939996e-02	-4.32863731054728e-03	 1.59075349376862e-02	 4.22967621249991e-02	6.198630915e+05
 4.73107852192284e-02	 8.38336329602603e-02	-1.81371189766133e-02	-1.04055843861850e-01	-8.20135632586249e-03	 1.80507385193981e-01	-8.59845499615474e-02	-4.54712815817168e-02	-3.28395558717162e-02	-6.04143129981372e-02	-4.22175449071950e-03	 1.61054875930484e-02	 4.23523066080050e-02	6.308731220e+05
 4.73041712327644e-02	 8.38853018725704e-02	-1.81947371372152e-02	-1.04007024039101e-01	-8.23627768048031e-03	 1.80545965957193e-01	-8.60080697957264e-02	-4.53722913634067e-02	-3.30449680255522e-02	-5.99673513636335e-02	-4.33260697116395e-03	 1.59001829155255e-02	 4.22946991859129e-02	6.194541756e+05
 4.73791676705026e-02	 8.32994245977747e-02	-1.75414009355639e-02	-1.04560595295581e-01	-7.84030208972512e-03	 1.80108496086060e-01	-8.57413768127244e-02	-4.64947481123857e-02	-3.07157857858145e-02	-6.50354794246514e-02	-3.07564323333046e-03	 1.82281464741142e-02	 4.29479136228795e-02	7.489343775e+05
 4.73725291995470e-02	 8.33512847845993e-02	-1.75992323943599e-02	-1.04511594745437e-01	-7.87535272063020e-03	 1.80147219672420e-01	-8.57649837156003e-02	-4.63953914395657e-02	-3.09219583603412e-02	-6.45868631710394e-02	-3.18690608150715e-03	 1.80220817737700e-02	 4.28900929423463e-02	7.374731590e+05
 4.73691901822836e-02	 8.33773694146665e-02	-1.76283204540316e-02	-1.04486948455058e-01	-7.89298248243324e-03	 1.80166696856884e-01	-8.57768575125581e-02	-4.63454170331105e-02	-3.10256590152330e-02	-6.43612182257722e-02	-3.24286905450462e-03	 1.79184353774206e-02	 4.28610103039239e-02	7.317083968e+05
 4.73089201839865e-02	 8.38482027424780e-02	-1.81533663488575e-02	-1.04042077475960e-01	-8.21120357266488e-03	 1.80518264333732e-01	-8.59911821673838e-02	-4.54433679706501e-02	-3.28974787156944e-02	-6.02882771792427e-02	-4.25301306432127e-03	 1.60475950556203e-02	 4.23360622638437e-02	6.276531672e+05
