tax	ADAL1	ADAL3	ADALmet1	ADALmet2	ADUP1	ADUP3	ADUPmet1	ADUPmet2	KUAL1	KUAL2	KUAL3	KUALmet1	KUALmet2	KUALmet3	KUUP1	KUUP2	KUUP3	KUUPmet2
a92311cdbf6cf81746817d44cf8d0fdd	33	0	0	0	0	0	0	0	0	22	30	41	38	51	0	0	20	0
443a6d7bf20b05233e8356a308450fb6	0	0	19	0	0	0	0	0	0	14	12	26	27	0	16	0	0	0
78a7f5554a54a1cccf275c78a11493a4	0	0	0	0	0	0	0	0	38	28	52	42	14	38	9	18	0	0
d16fd24dc7d57d5a63977fba76271001	55	44	28	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5824558a19b4e7a14181055e120b5b21	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
731d3e058caa6acf96ac865e9ab8dec2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
da253873fb1538bee02276f1059cf20b	0	38	17	70	0	0	0	0	0	0	0	0	0	6	0	0	0	0
289421396ebb189ceb432fb76cf5b5ed	0	0	0	0	0	0	0	0	43	17	17	17	32	0	19	30	34	36
8c5047bb1b90f0a923d5a94e33199b80	44	17	25	0	0	0	0	0	0	0	12	9	0	9	0	0	0	0
6d7b5ae918a53a05aa6728188b02df25	0	19	30	29	0	0	0	0	7	5	0	0	16	0	4	0	8	5
fa98a19dde97eda67853638912f95db1	0	0	6	13	0	0	0	0	26	7	0	10	10	0	0	0	0	0
31184bbad20a05e433fa6808193aca13	0	0	4	0	0	0	0	0	0	14	0	8	20	0	6	0	0	0
ab54f339d388bca75dff0e62e276efb9	27	38	12	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93fd758a19c1bb53b7299f3fef40d7bc	16	0	3	15	12	0	0	0	17	15	18	10	0	0	16	0	0	0
75b0ad6fc52c1923f69a7a63f391b2aa	43	51	14	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
de2c7e9406b28d3b7417ab0e037de19f	0	19	20	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f22f6959a5aa620e39f337a3403bd1bc	0	0	4	0	47	45	96	57	0	0	0	0	0	0	0	0	0	0
aab9983cbe2b1b75d6dba26193476546	39	27	11	24	31	12	10	11	0	0	0	0	0	0	0	0	0	0
ef5bd001508f3165549a61045f33a9ff	47	31	30	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a9c7a0c8f068199e322c3e3a7b4e8170	0	0	0	0	0	0	0	0	0	19	25	25	27	48	8	25	0	0
6a083b8228429a5a436cebf636fcfebb	43	52	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
