location	1990-1	2019-1	change absolute number(%)	1990-2	2019-2	EAPC_ASIR
Sudan	20.99 [17.29-25]	35.96 [29.74-42.72]	71.3196760362077	8.56 [7.3-9.92]	8.27 [7.03-9.56]	-0.11 [-0.16 to -0.06]
Saudi Arabia	16.95 [14.16-20.22]	26.62 [22.68-30.79]	57.0501474926254	10.34 [8.97-11.82]	9.2 [7.92-10.66]	-0.57 [-0.62 to -0.52]
Comoros	0.79 [0.68-0.93]	1.11 [0.96-1.28]	40.5063291139241	16.6 [14.59-18.74]	16.15 [14.14-18.3]	-0.11 [-0.14 to -0.08]
Mexico	161.05 [131.35-194.02]	180.23 [153.39-209.19]	11.9093449239367	16.18 [13.53-19.14]	15.61 [13.19-18.25]	-0.78 [-0.95 to -0.6]
Denmark	3.72 [3.24-4.23]	4.42 [3.82-5.03]	18.8172043010753	7.18 [6.15-8.23]	7.27 [6.22-8.41]	0.07 [-0.03 to 0.18]
Suriname	0.66 [0.56-0.77]	0.7 [0.61-0.82]	6.06060606060605	16.1 [13.94-18.54]	13.09 [11.16-15.24]	-0.84 [-0.93 to -0.75]
Turkey	72.32 [61.17-86.16]	80.83 [69.76-92.4]	11.7671460176991	11.56 [9.91-13.41]	11.23 [9.58-13.04]	-0.86 [-1.17 to -0.56]
New Zealand	1.91 [1.61-2.19]	2.55 [2.3-2.81]	33.5078534031414	5.76 [4.84-6.67]	5.55 [4.91-6.21]	-0.11 [-0.19 to -0.02]
Cameroon	19.04 [16-22.57]	50.61 [42.59-59.23]	165.808823529412	17.98 [15.67-20.51]	17.9 [15.62-20.26]	0.01 [-0.02 to 0.04]
Thailand	89.31 [77.05-101.96]	83.88 [74.08-94.25]	-6.07994625461875	16.65 [14.57-18.91]	12.96 [11.19-14.8]	-1.17 [-1.27 to -1.06]
Kenya	43.57 [36.32-51.86]	86.18 [72.88-100.58]	97.7966490704613	17.39 [15.2-19.72]	17.44 [15.23-19.8]	0.43 [0.22 to 0.64]
Iran (Islamic Republic of)	59.68 [48.59-72.14]	67.69 [57.69-78.41]	13.421581769437	8.65 [7.33-10.08]	8.75 [7.42-10.18]	0.09 [-0.02 to 0.19]
Saint Lucia	0.22 [0.19-0.26]	0.18 [0.16-0.21]	-18.1818181818182	14.82 [12.77-17.04]	12.42 [10.65-14.51]	-0.73 [-0.85 to -0.61]
Senegal	13.96 [11.68-16.44]	26.41 [22.4-30.97]	89.1833810888252	18.06 [15.81-20.38]	17.92 [15.65-20.34]	-0.02 [-0.04 to 0.01]
Japan	94.19 [79.57-110.94]	79.92 [70.68-89.29]	-15.1502282620236	9.39 [7.67-11.29]	7.52 [6.3-8.86]	-0.73 [-0.92 to -0.55]
Bulgaria	5.21 [4.58-5.88]	4.2 [3.69-4.77]	-19.3857965451056	6.43 [5.58-7.38]	6.4 [5.56-7.4]	0.03 [0 to 0.05]
Tunisia	7.79 [6.46-9.31]	9.02 [7.72-10.37]	15.7894736842105	8.55 [7.22-9.98]	8.45 [7.15-9.84]	-0.03 [-0.07 to 0.01]
United Arab Emirates	1.56 [1.29-1.85]	5.34 [4.44-6.21]	242.307692307692	8.47 [7.2-9.9]	8.42 [7.12-9.77]	-0.02 [-0.06 to 0.02]
Nicaragua	7.82 [6.26-9.61]	9.26 [7.65-11.06]	18.4143222506394	15 [12.45-17.79]	14.32 [11.98-16.89]	-0.19 [-0.25 to -0.12]
Botswana	2.13 [1.77-2.55]	3.45 [2.92-4.05]	61.9718309859155	15.18 [13.08-17.51]	15.09 [12.92-17.53]	-0.02 [-0.08 to 0.03]
Lithuania	3.53 [3.09-4.02]	2.59 [2.27-2.9]	-26.628895184136	9.76 [8.46-11.24]	9.38 [7.97-10.85]	-0.19 [-0.23 to -0.16]
Latvia	3.08 [2.75-3.41]	1.84 [1.62-2.05]	-40.2597402597403	11.56 [10.24-13.09]	9.59 [8.29-11.04]	-0.84 [-0.91 to -0.77]
Barbados	0.38 [0.33-0.43]	0.33 [0.29-0.37]	-13.1578947368421	15.7 [13.52-17.96]	12.98 [11.04-15.05]	-0.81 [-0.92 to -0.69]
