,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
TCGA.CK.4948.01B.11R.1653.07,0.0104258461697279,-0.240482606064344,0.245424865873428,-0.087723887236891,0.0486594484106741,0.0271889733095725,0.104638677550912,0.205553570253813,-0.098034818092757,-0.0123784786447114,0.0895508949913443,0.0284047971122721,0.163418272564465,0.178193146417445,-0.039589333034068,0.258088873816999,0.0420956082234503,0.157029618779234,-0.0449074771317535,-0.05899660983877,-0.00906116244802238,-0.033157517086515,0.0484236267599474,-0.0268691588785047
TCGA.AM.5821.01A.01R.1653.07,0.238099988419579,-0.182672612050034,0.329443763745739,0.177266154815175,-0.045575281014043,0.0318468315222839,0.0691899989236594,0.201532392586767,-0.116446072326803,-0.0162856838772966,0.0653647645468176,0.090676718141022,0.13511000872289,0.142679127725857,0.118591811199962,0.321796433139529,0.0441704713896382,0.16718915093708,-0.0486240777492429,-0.0534960818383702,0.0709611201493178,-0.165153347671512,0.104833780650224,-0.189641744548287
TCGA.AA.3681.01A.01R.0905.07,0.125730691629615,-0.1551648445243,0.28542190209492,0.0447990426343203,-0.0372594870378929,0.124397451717099,0.115613786254007,0.149062153799292,-0.109859199448824,-0.0641856916479113,0.0714591977023825,0.0494361393222833,0.131216658672787,0.100545171339564,0.0725550676424584,0.30088339660968,0.0535156809953418,0.136548829993532,-0.00801673574023519,-0.0706942521817742,0.0584772460268216,-0.0283471410021669,0.0800822267938182,-0.106152647975078
TCGA.F4.6806.01A.11R.1839.07,-0.0919099531841931,-0.130553464455955,0.302680225356119,-0.0167123329403768,-0.130598124904009,0.0916518158343181,0.0625645408942885,0.0847395574939082,-0.109844977106704,-0.1303558024413,0.0742386521646037,0.0248374915366099,0.144530192200403,0.445093457943925,-0.00854733028070118,0.267393354998678,0.0629703597561352,0.141020178623207,-0.0129092256671088,-0.0666004219928168,-0.000261774286905707,0.0197225052114521,0.0139152184326397,-0.0944704049844237
TCGA.D5.5539.01A.01R.1653.07,-0.0773800365900359,-0.187139363493215,0.264777430142422,-0.108772078539899,-0.0343449167811558,0.110205097138171,0.170802542940685,0.266418811161226,-0.0530746954029106,-0.055109887359276,0.0362996074237475,0.00199439229995053,0.149553618959738,0.195327102803738,-0.0447166488403626,0.295618134241323,0.0670806863847993,0.152090284919873,-0.0157278522717406,-0.0369046289101974,0.00614335157907711,0.080792524437026,0.0543237981643991,-0.145327102803738
TCGA.AA.3812.01A.01R.0905.07,-0.0583100122575134,-0.223877159832558,0.258607515192917,-0.028115194806076,0.128332597094765,0.126943004410907,0.239460435316417,0.218375095176085,-0.0471137820214847,-0.015302536765254,0.216472906658663,0.0433405206164392,0.222334097188679,0.332476635514019,-0.0332354965011469,0.175498971660308,-0.0269810309887551,0.205509190514198,-0.0110831717525481,-0.154019402810941,0.0219672011321582,0.0732684386950294,-0.0517104885942821,0.0713395638629283
TCGA.AA.3952.01A.01R.1022.07,-0.102000300813779,-0.253119815197765,0.240328988592179,-0.0958229221623005,-0.232095698682979,0.0625040938078627,0.118007283476153,0.18304623962004,-0.121756338034403,-0.0512078873125209,-0.0397283067387539,0.0274176090379655,0.132699224870037,0.355295950155763,-0.102817453511404,0.236786152546346,-0.0104402333736359,0.138527167344982,-0.0707360239802978,-0.0483473637482685,0.0260057680264165,-0.0557931721982676,0.0162775974975438,-0.242834890965732
TCGA.DM.A285.01A.11R.A16W.07,-0.224725842436205,-0.278154028449028,0.274559106647053,-0.113608727493595,-0.24170624326326,0.0912053920545142,0.0679783706853289,0.0996151558518968,-0.178602444721567,-0.189243772051391,0.0898554414142409,-0.0310172351520951,0.15595910338498,-0.0324766355140187,-0.128296284573874,0.301589076110149,0.0616754154413718,0.123275835013488,-0.0763076483822239,-0.0564126169981228,-0.0958163806357264,-0.144946175719114,0.0256718282657148,-0.265732087227414
TCGA.CM.4748.01A.01R.1410.07,-0.021861634997564,-0.210511361431327,0.240781497870604,-0.0968543162607151,-0.107749961053673,0.0432282977457756,0.133188976245757,0.158864158638083,-0.105245024029861,-0.0871760587719926,0.10158474514651,0.120891990811949,0.159848740582289,-0.240809968847352,-0.0518518341721173,0.216442263976323,0.00359066541028765,0.151882629427,-0.016937094976245,-0.0523279796237707,0.016232001677995,-0.00489428823027733,0.0130779037489802,-0.127102803738318
TCGA.AA.A00D.01A.01R.A002.07,0.254212408856533,-0.137612563604564,0.318596753937155,0.191578765302219,0.110455295605201,0.0495114618325996,0.155788732219554,0.17634335352989,-0.115690036980816,-0.0572049705677561,0.0974590549009909,0.0988905583579812,0.14585918403401,0.197429906542056,0.177319145046603,0.335214071599462,0.104690409649745,0.182037111913387,0.0149611000650635,-0.0602500172144593,0.112366063056811,0.0831296521900136,0.0798833465028236,0.135747663551402
