Gene Symbol	SPOT	Profile	0h	0.5h	3h	6h	12h
0 (SPOT_2102)	2102	38	0.00	0.92	0.71	0.91	0.97
0 (SPOT_2106)	2106	48	0.00	0.68	0.74	0.47	0.97
SLC6A13	2112;9713	43	0.00	-0.01	0.90	0.76	0.70
0 (SPOT_2127)	2127	44	0.00	0.31	-0.33	-0.31	-0.81
0 (SPOT_2128)	2128	38	0.00	0.71	0.92	0.48	0.74
0 (SPOT_2131)	2131	38	0.00	0.81	1.22	0.91	0.92
0 (SPOT_2136)	2136	38	0.00	0.64	0.85	0.72	0.65
0 (SPOT_2148)	2148	43	0.00	0.03	0.77	0.86	0.77
RBP7	2152;11269	43	0.00	0.39	1.43	0.91	0.86
0 (SPOT_2161)	2161	39	0.00	0.41	0.49	1.00	0.85
0 (SPOT_2173)	2173	38	0.00	0.89	0.79	0.66	0.81
0 (SPOT_2177)	2177	43	0.00	-0.12	0.81	0.82	0.47
0 (SPOT_2190)	2190	42	0.00	0.22	1.63	0.89	1.34
SPINK4	2191;22619	28	0.00	0.12	0.20	0.19	0.95
0 (SPOT_2206)	2206	42	0.00	0.48	0.98	0.55	0.47
0 (SPOT_2217)	2217	46	0.00	1.26	0.53	0.70	0.84
0 (SPOT_2218)	2218	46	0.00	0.87	0.51	0.45	0.20
0 (SPOT_2219)	2219	46	0.00	1.68	0.93	0.76	0.80
0 (SPOT_2220)	2220	45	0.00	0.81	0.12	0.16	-0.05
0 (SPOT_2229)	2229	46	0.00	0.89	0.67	0.54	0.49
0 (SPOT_2233)	2233	46	0.00	1.50	0.96	0.93	1.03
0 (SPOT_2234)	2234	46	0.00	2.16	1.47	0.85	1.66
0 (SPOT_2235)	2235	45	0.00	1.09	0.30	0.31	-0.26
0 (SPOT_2236)	2236	46	0.00	1.84	1.32	1.08	1.17
0 (SPOT_2238)	2238	46	0.00	0.90	0.53	0.42	0.35
0 (SPOT_2240)	2240	45	0.00	0.92	0.54	0.24	0.24
0 (SPOT_2254)	2254	42	0.00	0.45	1.63	0.88	0.98
KLF3	2360	41	0.00	0.27	0.42	0.82	0.83
C6ORF37	2375;4222;15958;17716	10	0.00	-0.73	-1.03	-0.40	-0.26
CDCA7	2387;9553	19	0.00	-0.38	-1.42	-1.43	-1.37
0 (SPOT_2390)	2390	9	0.00	-0.02	-0.59	-0.55	-0.88
0 (SPOT_2407)	2407	48	0.00	0.41	0.60	0.10	0.97
0 (SPOT_2415)	2415	38	0.00	0.58	0.90	0.59	0.61
KIAA0737	2453;8857	12	0.00	-0.97	-0.46	-0.95	-0.42
0 (SPOT_2460)	2460	48	0.00	0.46	0.79	0.34	1.15
0 (SPOT_2467)	2467	42	0.00	0.61	0.83	0.39	0.55
0 (SPOT_2501)	2501	38	0.00	0.74	0.90	0.73	0.73
HLA-DOA	2522	14	0.00	-0.21	0.43	1.14	0.61
TFF3	2531	43	0.00	0.03	1.69	1.01	0.97
EDN1	2548	22	0.00	0.05	-0.31	-0.07	-1.20
C4A	2551	41	0.00	-0.04	0.54	0.85	0.93
CXCL1	2571;13893	43	0.00	1.30	2.93	2.19	2.73
0 (SPOT_2577)	2577	38	0.00	0.88	1.02	0.92	1.08
0 (SPOT_2581)	2581	38	0.00	0.62	0.77	0.66	0.92
0 (SPOT_2582)	2582	38	0.00	1.04	0.93	0.98	0.95
0 (SPOT_2583)	2583	38	0.00	0.69	0.57	0.72	0.86
0 (SPOT_2584)	2584	42	0.00	0.99	2.20	0.84	0.90
PPFIA2	2591	48	0.00	1.09	1.03	0.55	0.99
KIAA1437	2600	41	0.00	0.16	0.47	0.37	0.93
COPEB	2626;7069;11588;16110	43	0.00	0.24	1.55	1.28	1.09
0 (SPOT_2639)	2639	43	0.00	0.14	0.87	0.99	0.81
SLC38A2	2640;19230	14	0.00	-0.14	0.41	0.88	0.73
HEBP1	2647;5714	17	0.00	-0.49	1.43	0.56	-0.51
GIT2	2650	47	0.00	1.57	2.03	0.80	0.98
0 (SPOT_2652)	2652	40	0.00	0.45	1.74	0.48	0.14
0 (SPOT_2661)	2661	43	0.00	0.31	0.85	1.09	0.36
