SYMBOL,avg_log2FC,AveExpr,t,Pvalue,adj.P.Val,B
CD248,0.165824088,3.193448557,1.304216669,0.22684402,0.487813486,-5.680031249
TIGD2,0.143650937,3.068432135,1.304215737,0.226844323,0.487813486,-5.680032352
A1BG,0.174671574,1.876795793,1.304197988,0.226850101,0.487813486,-5.680053348
LOC100130938,-0.139048137,1.809785349,-1.303856352,0.226961341,0.487983072,-5.680457464
GRHL3,-0.14364623,3.488206254,-1.303269184,0.227152637,0.488260927,-5.681151855
FAM73A,-0.036032709,3.306876225,-1.303260822,0.227155362,0.488260927,-5.681161743
RP1-102H19.8,0.171607867,1.957506967,1.302867165,0.227283691,0.488439443,-5.681627169
LACTB2,-0.235232417,3.103181696,-1.302795699,0.227306995,0.488439443,-5.681711655
PET117,0.064054501,3.346164352,1.302707875,0.227335635,0.488439443,-5.681815474
SLC25A4,-0.136603566,3.320903802,-1.302425944,0.227427598,0.488561637,-5.682148722
VSIG1,0.09557811,1.772104045,1.302310574,0.227465239,0.488561637,-5.682285077
FKBP14,-0.234187353,2.980907012,-1.302204657,0.227499801,0.488561637,-5.682410253
SERPINB2,-0.540964735,3.492148805,-1.302136116,0.227522169,0.488561637,-5.682491255
RP11-362K14.6,0.110132213,1.835907878,1.302005691,0.227564737,0.488576877,-5.682645381
FDX1,-0.035135757,3.363548366,-1.301915744,0.227594099,0.488576877,-5.682751667
LINC01093,0.071567634,1.803371543,1.301341576,0.227781598,0.488909747,-5.683430024
MAGI2,-0.159652802,2.984791359,-1.301132382,0.227849945,0.48898681,-5.683677131
ALG8,0.09748676,3.442644228,1.300907128,0.227923558,0.489047502,-5.683943177
PSAT1,0.104933999,3.261469622,1.300847279,0.22794312,0.489047502,-5.68401386
AP3M1,-0.064016488,3.346917064,-1.300410788,0.228085832,0.489071841,-5.684529297
FLJ37035,0.210666676,1.985725342,1.300107888,0.228184911,0.489071841,-5.684886915
SEMA3A,-0.372575448,2.007368551,-1.300076257,0.22819526,0.489071841,-5.684924257
KAT7,-0.048525723,3.342647698,-1.300041398,0.228206665,0.489071841,-5.684965409
LOC100287497,0.077046587,2.775070098,1.299995918,0.228221546,0.489071841,-5.685019098
LIMCH1,-0.197155062,3.094923188,-1.299987733,0.228224224,0.489071841,-5.68502876
ANKRD32,0.068387653,1.845003961,1.299808502,0.228282877,0.489071841,-5.685240331
LAMA4,-0.11376292,3.36684909,-1.299760515,0.228298582,0.489071841,-5.685296972
POU4F1,0.125122896,1.741123035,1.299710277,0.228315026,0.489071841,-5.68535627
FBF1,-0.046505753,3.055907346,-1.299705258,0.228316668,0.489071841,-5.685362194
RBMX2,-0.040659827,3.129287193,-1.299633533,0.228340146,0.489071841,-5.68544685
SOX21-AS1,-0.43512203,2.345445006,-1.299622211,0.228343853,0.489071841,-5.685460213
FGD6,-0.267538987,2.317030255,-1.29933016,0.228439473,0.489207125,-5.685804886
ADAM23,0.159967582,1.861465683,1.298939363,0.228567478,0.48941171,-5.686266017
ACAP1,0.092373178,2.489750152,1.298816808,0.228607633,0.489428159,-5.68641061
PIK3R3,0.105162336,3.286140802,1.298373886,0.228752805,0.489631834,-5.686933105
RNGTT,-0.111943391,2.841225757,-1.298253833,0.228792167,0.489631834,-5.687074706
ITPK1-AS1,0.197467989,1.95514136,1.298229256,0.228800226,0.489631834,-5.687103693
ARHGEF18,0.056740739,3.493763459,1.298124173,0.228834685,0.489636056,-5.687227628
STX4,-0.037858885,3.3239642,-1.297865372,0.228919572,0.48968309,-5.687532832
MAP4,0.057890371,3.184072584,1.297704912,0.228972216,0.48968309,-5.687722041
OSER1,-0.055751216,3.377431306,-1.297700421,0.228973689,0.48968309,-5.687727337
C3orf58,0.051472695,3.554303817,1.297660998,0.228986625,0.48968309,-5.687773822
TROVE2,0.075849009,1.929642739,1.297276929,0.229112679,0.489883147,-5.688226632
PACRGL,0.165229361,2.53758569,1.297077343,0.229178208,0.489953752,-5.688461906
VCPKMT,0.103234317,3.438613922,1.296727262,0.229293186,0.490126749,-5.688874526
PAM,-0.059704422,3.685655566,-1.29663296,0.229324166,0.490126749,-5.688985662
DMRTC1 ,0.0776342,1.738074456,1.296304635,0.229432055,0.490222006,-5.689372556
AIF1L,-0.248527536,3.165343965,-1.296299367,0.229433787,0.490222006,-5.689378762
ERG,-0.201365168,2.733475759,-1.296015268,0.229527178,0.490352038,-5.689713487
GLYR1 ,-0.187266876,3.155914043,-1.295822977,0.229590408,0.490417606,-5.689940018
HPSE,-0.214712012,3.267101313,-1.295706177,0.229628822,0.490430154,-5.690077604
OLIG1,0.255048549,1.835760902,1.295120206,0.22982162,0.490738703,-5.690767733
PILRA,0.067753588,1.763381538,1.295069198,0.229838409,0.490738703,-5.690827798
PLEKHM2,0.058142718,3.212251714,1.294315821,0.230086504,0.49114064,-5.691714765
GSTA4,-0.045492073,3.7270504,-1.294233767,0.230113539,0.49114064,-5.691811349
APOO,0.071172557,3.342221993,1.294153826,0.230139881,0.49114064,-5.691905442
MORN4,0.172163074,2.204202576,1.294101868,0.230157003,0.49114064,-5.691966596
TRIM68,-0.086261763,3.074387279,-1.293720849,0.230282595,0.491187489,-5.692415
TRMT10B,-0.08187827,1.893106002,-1.293645075,0.230307578,0.491187489,-5.692504165
PPIL1,0.072476079,3.385390599,1.293582926,0.230328071,0.491187489,-5.692577294
WFDC21P,-0.330667751,3.128106235,-1.293566592,0.230333457,0.491187489,-5.692596513
RP11-180N14.1,-0.299536683,1.939419819,-1.293540978,0.230341904,0.491187489,-5.692626652
MEF2BNB,-0.073118644,3.104061091,-1.293262291,0.230433822,0.491281955,-5.692954541
SNRPN ,-0.207482882,2.671546979,-1.293204397,0.23045292,0.491281955,-5.69302265
PACS2,-0.052792145,3.288206284,-1.29305491,0.230502241,0.491281955,-5.693198505
IFI6,0.342381157,2.912030048,1.293011436,0.230516586,0.491281955,-5.693249644
CA5B,-0.072497173,1.814839541,-1.292655497,0.230634064,0.49143108,-5.693668302
ATP6V0A2,0.103419687,2.957166049,1.29250358,0.230684219,0.49143108,-5.693846965
PHLPP1,-0.075680622,3.130922369,-1.292484416,0.230690547,0.49143108,-5.693869503
LOC728743 ,0.068054694,2.876183223,1.292323492,0.230743688,0.49143108,-5.694058741
MTL5,0.333997681,1.817019528,1.292305633,0.230749586,0.49143108,-5.694079742
LOC101928762,0.066320159,1.612956108,1.291955997,0.230865081,0.491607587,-5.69449084
CEP70,0.118654299,1.915154475,1.291786478,0.230921096,0.491657403,-5.694690131
POMT1,0.110880497,2.703296787,1.291644452,0.230968035,0.491663454,-5.694857088
TUBGCP6,0.175692658,2.513668747,1.291518887,0.23100954,0.491663454,-5.695004685
LLGL1,0.06114291,3.059358918,1.291481799,0.231021801,0.491663454,-5.695048278
ZNHIT1,0.052670097,3.425806725,1.291059291,0.231161513,0.491891334,-5.695544839
TMEM18,-0.103864205,2.556673294,-1.290556521,0.231327858,0.492175816,-5.696135591
WASF2,-0.057000317,3.540072679,-1.290189596,0.231449322,0.492244461,-5.696566629
PRF1,0.125935388,2.246176326,1.29018428,0.231451082,0.492244461,-5.696572874
LOC280665,0.250399577,1.882005559,1.290163082,0.231458101,0.492244461,-5.696597774
XPNPEP3,0.105813576,2.775537475,1.289989145,0.2315157,0.492297493,-5.696802072
INO80E,0.085851254,3.102255936,1.289474352,0.231686244,0.492538141,-5.697406617
OXTR,-0.288768,2.441578719,-1.289450256,0.231694229,0.492538141,-5.69743491
IQGAP2,-0.191501447,3.141852468,-1.28889318,0.231878906,0.49280559,-5.698088923
LOC100287387,-0.035263574,1.867201527,-1.288873497,0.231885433,0.49280559,-5.698112027
TXLNB,-0.23642369,2.03901809,-1.288589986,0.231979469,0.492827122,-5.698444797
PLA2G12A,-0.059547849,3.373897473,-1.288584144,0.231981408,0.492827122,-5.698451654
AP1S3,-0.322498068,2.32889574,-1.288547214,0.231993659,0.492827122,-5.698494996
TMED10,-0.056731542,3.668865622,-1.287617912,0.232302137,0.493257789,-5.699585396
THUMPD1,-0.07036041,3.589395744,-1.287451734,0.232357335,0.493257789,-5.699780327
ROGDI,-0.104349741,3.228051786,-1.287399414,0.232374716,0.493257789,-5.699841696
SEPT7P2,0.090439603,2.067021019,1.287332155,0.232397061,0.493257789,-5.699920585
GDAP1,0.145594462,3.052164315,1.28715222,0.232456851,0.493257789,-5.700131622
PIGR,-0.686321364,2.957240231,-1.287127386,0.232465103,0.493257789,-5.700160747
