OTUID	A1	A2	A3	B1	B2	B3	C1	C2	C3
OTU0327	2	0	3	0	0	0	0	0	0
OTU0331	4	0	1	1	0	0	0	0	0
OTU0354	0	1	1	4	0	0	0	0	0
OTU0380	2	3	0	0	0	2	0	0	0
OTU0417	0	6	0	2	0	0	0	0	0
OTU0615	0	5	0	0	2	0	0	0	0
OTU0691	0	8	0	0	0	0	0	0	0
OTU0718	1	0	0	6	0	0	0	0	0
OTU0800	0	0	0	0	0	0	0	0	0
OTU0802	0	3	1	0	0	0	0	0	0
OTU0804	0	5	0	0	0	0	0	0	0
OTU0805	0	1	1	3	1	0	0	0	0
OTU0814	0	4	2	0	1	0	0	0	0
OTU1163	0	0	0	8	0	0	0	0	0
OTU1203	0	0	1	0	0	0	0	0	0
OTU1434	0	0	2	0	0	2	0	0	0
OTU1626	0	0	1	0	0	0	0	0	0
OTU1627	0	1	0	0	0	0	0	0	0
OTU1642	0	0	4	1	0	0	0	0	0
OTU1648	0	0	2	0	4	0	0	0	0
OTU1994	5	0	0	1	0	2	0	0	0
OTU2132	0	3	2	0	3	0	0	0	0
OTU2475	0	0	8	0	0	0	0	0	0
OTU2476	0	0	8	0	0	0	0	0	0
OTU0108	0	0	1	3	0	1	1	0	1
OTU0147	1	0	2	0	3	1	0	0	0
OTU0148	1	1	1	2	0	0	0	2	0
OTU0178	1	0	3	1	0	0	0	2	0
OTU0197	0	2	2	0	0	0	0	3	0
OTU0222	0	0	1	1	1	0	0	0	4
OTU0225	0	2	1	0	0	0	0	2	2
OTU0235	0	0	1	0	0	4	0	0	2
OTU0238	0	2	0	0	3	0	0	1	1
OTU0277	0	0	4	1	1	0	0	1	0
OTU0297	0	1	2	0	1	0	0	3	0
OTU0303	1	0	1	4	0	1	0	0	0
OTU0330	0	0	0	0	2	1	0	1	3
OTU0336	0	0	2	1	0	1	0	1	2
OTU0339	0	1	1	0	0	0	0	5	0
OTU0350	0	0	3	1	0	0	0	0	3
OTU0686	2	1	1	0	0	2	1	0	0
OTU0713	0	2	0	0	2	0	0	3	0
OTU0719	0	5	1	0	0	0	0	1	0
OTU1154	1	0	2	0	0	1	0	0	3
OTU1158	0	1	4	0	1	0	0	1	0
OTU1166	5	0	0	2	0	0	0	0	0
OTU1193	0	0	0	4	0	0	2	0	1
OTU1638	0	1	0	1	2	0	0	3	0
OTU1639	0	0	2	0	2	0	0	3	0
OTU1641	0	2	1	0	1	0	0	3	0
OTU1676	2	0	2	1	0	0	1	1	0
OTU1906	0	0	1	1	0	4	1	0	0
OTU2285	0	1	3	3	0	0	0	0	0
OTU2477	0	0	7	0	0	0	0	0	0
OTU2478	0	0	7	0	0	0	0	0	0
OTU0155	0	0	1	1	0	0	0	2	2
OTU0157	1	0	0	1	0	2	0	0	2
OTU0174	0	0	0	1	3	0	0	2	0
OTU0182	0	0	0	1	2	1	0	0	2
OTU0200	0	2	0	0	3	1	0	0	0
OTU0210	0	0	2	1	1	0	0	0	2
OTU0234	0	0	2	0	0	1	0	0	3
OTU0274	0	4	1	1	0	0	0	0	0
OTU0286	0	2	1	0	2	0	0	1	0
OTU0289	0	0	3	2	0	0	1	0	0
OTU0358	0	0	2	1	0	1	0	1	1
OTU0374	0	0	0	0	1	2	0	3	0
OTU0382	1	0	1	2	1	0	0	1	0
OTU0383	0	2	1	1	1	0	0	1	0
OTU0720	0	5	0	0	0	0	0	1	0
OTU0806	0	3	0	0	1	0	0	2	0
OTU0824	0	0	3	0	0	1	2	0	0
OTU0832	0	3	2	0	1	0	0	0	0
OTU1107	0	0	0	5	0	0	1	0	0
OTU1130	0	0	0	6	0	0	0	0	0
OTU1131	4	0	1	1	0	0	0	0	0
OTU1159	0	0	0	2	0	0	4	0	0
OTU1452	1	0	1	0	0	0	0	3	1
OTU1466	1	0	1	1	0	2	0	0	1
OTU1470	0	0	4	0	0	1	0	0	1
OTU1628	0	0	1	0	0	0	0	5	0
OTU1630	0	0	1	0	1	0	0	4	0
OTU1658	0	4	0	0	0	0	0	2	0
OTU1694	0	0	0	5	0	0	0	1	0
OTU2005	1	0	3	1	0	1	0	0	0
OTU2479	0	0	6	0	0	0	0	0	0
OTU2890	6	0	0	0	0	0	0	0	0
OTU2891	6	0	0	0	0	0	0	0	0
OTU0176	1	0	0	3	0	0	0	1	0
OTU0202	1	3	0	0	0	0	1	0	0
OTU0218	0	5	0	0	0	0	0	0	0
OTU0228	0	0	1	0	1	0	0	3	0
OTU0278	1	2	0	2	0	0	0	0	0
OTU0312	0	0	1	2	1	0	0	1	0
OTU0313	0	0	0	0	4	1	0	0	0
OTU0328	1	0	1	2	0	0	0	0	1
OTU0338	1	0	1	1	0	1	0	0	1
OTU0340	0	0	0	0	0	2	3	0	0
OTU0349	1	0	0	0	0	1	0	0	3
OTU0376	0	1	1	0	1	0	0	2	0
OTU0378	0	1	1	0	0	2	0	1	0
OTU0410	0	0	3	1	1	0	0	0	0
OTU0596	0	0	0	2	0	0	0	3	0
OTU0611	0	2	1	1	1	0	0	0	0
OTU0619	0	5	0	0	0	0	0	0	0
OTU0630	0	3	0	0	0	0	0	2	0
OTU0649	0	2	0	0	3	0	0	0	0
OTU0716	0	2	0	1	1	0	0	1	0
OTU0725	1	1	0	1	2	0	0	0	0
OTU0731	0	4	0	0	1	0	0	0	0
OTU0785	0	0	4	0	0	0	1	0	0
OTU0791	0	0	1	0	1	0	0	0	3
OTU0793	1	0	0	0	1	0	0	2	1
OTU0831	0	1	0	3	1	0	0	0	0
OTU0866	0	5	0	0	0	0	0	0	0
OTU0867	1	4	0	0	0	0	0	0	0
OTU1155	1	0	0	1	0	0	0	0	3
OTU1156	0	0	1	1	0	0	0	1	2
OTU1157	0	0	0	2	0	2	0	0	0
OTU1195	1	0	2	0	0	1	0	0	0
OTU1206	1	0	0	1	0	2	0	0	0
OTU1215	2	0	1	0	0	2	0	0	0
OTU1445	3	0	0	0	0	0	0	0	0
OTU1465	0	0	0	2	0	2	0	0	0
OTU1485	0	1	1	2	0	0	0	0	0
OTU1631	0	0	1	0	0	0	0	0	0
OTU1640	0	0	0	0	2	0	0	0	0
OTU1647	0	0	2	0	0	1	0	0	0
OTU1649	0	0	1	0	2	0	0	0	0
OTU1650	0	1	1	0	1	0	0	0	0
OTU1654	0	1	1	1	0	0	0	0	0
OTU1682	0	0	0	1	3	0	0	0	0
OTU1683	0	2	1	0	1	0	0	0	0
OTU1695	2	0	0	2	0	0	0	0	0
OTU1709	0	4	0	0	0	0	0	0	0
OTU1993	0	0	2	0	0	3	0	0	0
OTU1999	0	0	0	0	4	1	0	0	0
OTU2001	3	0	0	0	1	1	0	0	0
OTU2480	0	0	5	0	0	0	0	0	0
OTU2715	0	5	0	0	0	0	0	0	0
OTU0158	0	0	1	0	1	0	0	0	0
OTU0168	1	0	1	2	0	0	0	0	0
OTU0220	0	0	0	0	0	1	0	0	0
OTU0236	0	0	1	1	0	0	0	0	0
OTU0240	0	0	0	1	0	2	0	0	0
OTU0242	0	3	0	0	0	0	0	0	0
OTU0244	0	0	0	0	0	0	0	0	0
OTU0245	0	0	0	0	3	0	0	0	0
OTU0250	0	1	1	1	0	1	0	0	0
OTU0287	1	2	0	0	1	0	0	0	0
OTU0353	0	0	0	1	0	0	0	0	0
OTU0375	0	1	0	0	0	0	0	0	0
OTU0379	0	0	1	0	0	2	0	0	0
OTU0386	0	1	1	1	0	0	0	0	0
OTU0400	0	1	1	0	0	2	0	0	0
OTU0631	0	3	0	1	0	0	0	0	0
OTU0644	0	1	1	2	0	0	0	0	0
OTU0669	0	4	0	0	0	0	0	0	0
OTU0676	0	0	1	0	0	0	0	0	0
OTU0682	0	1	2	0	0	0	0	0	0
OTU0688	0	3	0	0	1	0	0	0	0
OTU0692	0	4	0	0	0	0	0	0	0
OTU0703	0	0	0	4	0	0	0	0	0
OTU0715	0	2	0	0	0	1	0	0	0
OTU0721	0	3	0	0	0	0	0	0	0
OTU0726	0	0	2	0	2	0	0	0	0
OTU0783	0	0	1	1	0	0	0	0	0
OTU0792	0	0	0	0	0	0	0	0	0
OTU0828	1	1	0	0	1	1	0	0	0
OTU0833	0	3	0	0	1	0	0	0	0
OTU0845	1	1	0	2	0	0	0	0	0
OTU0856	0	0	4	0	0	0	0	0	0
OTU1128	0	0	1	2	0	0	0	0	0
OTU1139	0	0	0	3	0	0	0	0	0
OTU1164	0	0	0	4	0	0	0	0	0
OTU1165	0	0	0	4	0	0	0	0	0
OTU1198	1	0	2	0	0	0	0	0	0
OTU1208	0	0	1	2	0	0	0	0	0
OTU1210	0	3	0	0	0	0	0	0	0
OTU1223	0	0	0	0	4	0	0	0	0
OTU1233	0	1	2	1	0	0	0	0	0
OTU1249	0	3	1	0	0	0	0	0	0
OTU1435	0	0	0	0	0	0	0	0	0
OTU1437	0	0	0	0	0	0	0	0	0
OTU1440	0	0	1	0	1	0	0	0	0
OTU1441	0	0	1	1	0	0	0	0	0
OTU1453	0	0	1	0	0	0	0	0	0
OTU1456	0	0	0	0	0	2	0	0	0
OTU1457	0	0	1	0	0	1	0	0	0
OTU1467	0	0	1	0	0	2	0	0	0
OTU1471	0	1	1	0	0	1	0	0	0
OTU1633	0	0	0	0	0	0	0	0	0
OTU1634	0	0	0	0	0	0	0	0	0
OTU1635	0	0	0	0	0	0	0	0	0
OTU1636	0	0	0	0	0	0	0	0	0
OTU1643	0	0	1	0	0	0	0	0	0
OTU1651	0	1	0	0	1	0	0	0	0
OTU1655	1	0	1	0	0	0	0	0	0
OTU1659	0	2	0	0	0	0	0	0	0
OTU1677	0	0	1	0	1	1	0	0	0
OTU1687	0	2	0	0	1	0	0	0	0
OTU1700	0	2	1	0	0	0	0	0	0
OTU1907	0	1	0	0	2	0	0	0	0
OTU1992	0	0	0	0	0	4	0	0	0
OTU1995	1	0	0	1	0	2	0	0	0
OTU2008	0	0	3	0	0	1	0	0	0
OTU2009	0	0	3	0	0	1	0	0	0
OTU2142	0	0	2	1	1	0	0	0	0
OTU2300	0	0	3	1	0	0	0	0	0
OTU2481	0	0	4	0	0	0	0	0	0
OTU2482	0	1	3	0	0	0	0	0	0
OTU2483	0	1	3	0	0	0	0	0	0
OTU2506	0	3	1	0	0	0	0	0	0
OTU2716	0	4	0	0	0	0	0	0	0
OTU2717	0	4	0	0	0	0	0	0	0
OTU0152	0	0	0	2	0	0	0	0	0
OTU0167	0	0	0	0	0	0	0	0	0
OTU0183	0	1	0	0	0	0	0	0	0
OTU0211	0	0	0	1	0	2	0	0	0
OTU0246	0	0	1	0	1	0	0	0	0
OTU0248	1	0	0	0	0	0	0	0	0
OTU0249	0	0	1	0	0	2	0	0	0
OTU0256	0	0	1	0	2	0	0	0	0
OTU0282	1	0	0	0	1	0	0	0	0
OTU0311	0	1	0	0	0	0	0	0	0
OTU0314	1	0	1	1	0	0	0	0	0
OTU0322	0	0	0	3	0	0	0	0	0
OTU0341	0	0	0	0	1	2	0	0	0
OTU0352	0	0	0	0	0	0	0	0	0
OTU0359	0	0	0	1	0	1	0	0	0
OTU0366	0	2	0	0	0	0	0	0	0
OTU0377	0	0	0	0	1	0	0	0	0
