OTU	log2FC	p_value	group
OTU051	2.332209068	0.071115852	group1-group3
OTU052	-0.447708576	0.591383178	group1-group3
OTU053	0.948355552	0.001866716	group1-group3
OTU054	0.54831308	0.257422933	group1-group3
OTU055	-1.69448182	0.041832705	group1-group3
OTU056	0.46260271	0.493306919	group1-group3
OTU057	-0.464084438	0.560692359	group1-group3
OTU058	-0.470534687	0.520058324	group1-group3
OTU059	-0.187558934	0.759967786	group1-group3
OTU060	0.907459199	0.205799626	group1-group3
OTU061	-0.128987949	0.85192693	group1-group3
OTU062	-0.294016287	0.670448267	group1-group3
OTU063	0.358982647	0.566792983	group1-group3
OTU064	-0.503832396	0.608194605	group1-group3
OTU065	-0.662301959	0.238738851	group1-group3
OTU066	1.884626827	0.055275552	group1-group3
OTU067	4.050799239	0.002324412	group1-group3
OTU068	0.497949375	0.504885337	group1-group3
OTU069	0.655714491	0.545324249	group1-group3
OTU070	2.266052414	0.062716003	group1-group3
OTU071	-0.088093109	0.949679436	group1-group3
OTU072	-2.00539168	0.023419544	group1-group3
OTU073	0.498272148	0.538875993	group1-group3
OTU074	0.11476665	0.908891841	group1-group3
OTU075	0.696687345	0.374443741	group1-group3
OTU076	1.517833201	0.113428037	group1-group3
OTU077	0.248928926	0.820197087	group1-group3
OTU078	-4.41349657	0.004025229	group1-group3
OTU079	-0.36002439	0.603316528	group1-group3
OTU080	-0.040085505	0.951414078	group1-group3
OTU081	0.594690824	0.526448059	group1-group3
OTU082	-1.315729209	0.290240304	group1-group3
OTU083	0.464296893	0.710575759	group1-group3
OTU084	-2.563761442	0.025468444	group1-group3
OTU085	0.018291373	0.984422185	group1-group3
OTU086	1.022667789	0.399468878	group1-group3
OTU087	-0.916060609	0.238462604	group1-group3
OTU088	-0.532152817	0.680389074	group1-group3
OTU089	-1.484921386	0.19244516	group1-group3
OTU090	4.210624846	0.010423124	group1-group3
OTU091	-3.773310753	0.002292819	group1-group3
OTU092	-2.335440541	0.012478381	group1-group3
OTU093	-1.457024444	0.092841366	group1-group3
OTU094	0.131085406	0.658590803	group1-group3
OTU095	0.078987884	0.803418585	group1-group3
OTU096	-0.240206554	0.580388712	group1-group3
OTU097	1.219682233	0.136397221	group1-group3
OTU098	0.055494869	0.947004071	group1-group3
OTU099	2.707454863	0.036100954	group1-group3
OTU100	-0.278268568	0.731601897	group1-group3
OTU101	-1.165596858	0.1625932	group1-group3
OTU102	0.174657505	0.774088653	group1-group3
OTU103	0.40614836	0.624083406	group1-group3
OTU104	-0.491885703	0.600548421	group1-group3
OTU105	0.477493837	0.449997074	group1-group3
OTU106	0.466385987	0.501091597	group1-group3
OTU107	-0.328484487	0.62234305	group1-group3
OTU108	-0.032926138	0.960413931	group1-group3
OTU109	0.741297907	0.240083318	group1-group3
OTU110	0.017895745	0.972652902	group1-group3
OTU111	0.014752895	0.981193543	group1-group3
OTU112	-0.574025189	0.457203226	group1-group3
OTU113	0.449372135	0.328430379	group1-group3
OTU114	0.858986101	0.242308423	group1-group3
OTU115	-0.297919321	0.630148861	group1-group3
OTU116	0.297777833	0.485616704	group1-group3
OTU117	-0.506816607	0.525366249	group1-group3
OTU118	-1.208890535	0.248662921	group1-group3
OTU119	0.698615405	0.245536569	group1-group3
OTU120	-2.109249826	0.012895413	group1-group3
OTU121	-0.478581235	0.618383203	group1-group3
OTU122	0.111038877	0.875175936	group1-group3
OTU123	0.132413653	0.886467071	group1-group3
OTU124	-1.488916464	0.091507108	group1-group3
OTU125	-1.066795663	0.24712885	group1-group3
OTU126	-0.750206054	0.449743059	group1-group3
OTU127	-0.762569255	0.103644459	group1-group3
OTU128	-0.931836359	0.098180997	group1-group3
OTU129	-0.161529902	0.834850896	group1-group3
OTU130	-0.011733839	0.987823921	group1-group3
OTU131	-0.649621748	0.282561946	group1-group3
OTU132	-0.364114981	0.692844898	group1-group3
OTU133	-1.514332663	0.075556252	group1-group3
OTU134	-1.583767233	0.141997521	group1-group3
OTU135	-0.167403447	0.774044066	group1-group3
OTU136	0.0290585	0.961899506	group1-group3
OTU137	-0.633754999	0.423947303	group1-group3
OTU138	-0.210863	0.722416579	group1-group3
OTU139	-0.989658354	0.411121345	group1-group3
OTU140	0.628929162	0.36590239	group1-group3
OTU141	-0.436794936	0.389486186	group1-group3
OTU142	-0.297051075	0.412773206	group1-group3
OTU143	-0.651365366	0.225981587	group1-group3
OTU144	0.411951114	0.631043676	group1-group3
OTU145	0.395685551	0.595524612	group1-group3
OTU146	-0.654485838	0.193509972	group1-group3
OTU147	0.143635317	0.777194183	group1-group3
OTU148	-3.06542606	0.001472973	group1-group3
OTU149	-3.534342773	0.002042643	group1-group3
OTU150	-0.93066145	0.246889473	group1-group3
OTU151	-1.327097756	0.040403349	group1-group3
OTU152	-1.47917192	0.021155321	group1-group3
OTU153	0.901235115	0.283429074	group1-group3
OTU154	-0.509199469	0.59285919	group1-group3
OTU155	5.594262777	0.008495331	group1-group3
OTU156	-0.223378301	0.500608381	group1-group3
OTU157	-0.487968728	0.186715699	group1-group3
OTU158	-0.325827311	0.452522135	group1-group3
OTU159	-0.333571832	0.592996714	group1-group3
OTU160	-0.66540267	0.407646891	group1-group3
OTU161	-0.500298934	0.265795306	group1-group3
OTU162	0.24244283	0.710791559	group1-group3
OTU163	-0.971465734	0.291298284	group1-group3
OTU164	-2.131011531	0.00434106	group1-group3
OTU165	0.134966836	0.750108652	group1-group3
OTU166	-0.316303524	0.572475972	group1-group3
OTU167	-0.432714643	0.521742781	group1-group3
OTU168	-0.866776714	0.261704532	group1-group3
OTU169	0.239713329	0.827532909	group1-group3
OTU170	-0.70454485	0.344867021	group1-group3
OTU171	-1.681114027	0.013651505	group1-group3
OTU172	-1.714109694	0.075637947	group1-group3
OTU173	-2.289599031	0.090363667	group1-group3
OTU174	-0.24211818	0.53888712	group1-group3
OTU175	0.046882488	0.935738292	group1-group3
OTU176	-2.874811604	0.001849503	group1-group3
OTU177	-0.104118553	0.877422708	group1-group3
OTU178	0.079650125	0.84931826	group1-group3
OTU179	-0.002181047	0.995433511	group1-group3
OTU180	-0.185970416	0.629244123	group1-group3
OTU181	-0.589598076	0.464440028	group1-group3
OTU182	-0.020561438	0.942975837	group1-group3
OTU183	-0.471266321	0.393391838	group1-group3
OTU184	-0.108153891	0.882236417	group1-group3
OTU185	0.571598097	0.482809146	group1-group3
OTU186	0.261479355	0.708109591	group1-group3
OTU187	0.106423518	0.902439645	group1-group3
OTU188	-1.277371694	0.115497124	group1-group3
OTU189	2.006587213	0.017382992	group1-group3
OTU190	-0.371991138	0.752491444	group1-group3
OTU191	0.148791395	0.872777872	group1-group3
OTU192	0.737142484	0.2501688	group1-group3
OTU193	1.682779915	0.165573943	group1-group3
OTU194	0.511451294	0.360143872	group1-group3
OTU195	0.686843438	0.535068819	group1-group3
OTU196	-1.496385253	0.02146673	group1-group3
OTU197	-1.790135193	0.022822836	group1-group3
OTU198	-0.210401777	0.832155268	group1-group3
OTU199	1.380646946	0.199408858	group1-group3
OTU200	0.567388551	0.523271218	group1-group3
OTU201	-0.81418874	0.095384626	group1-group3
OTU001	-2.45166752	0.001698044	group2-group3
OTU002	1.254211047	0.059084234	group2-group3
OTU003	-0.05287352	0.900198175	group2-group3
OTU004	0.087694402	0.868365151	group2-group3
OTU005	-0.077048803	0.881364656	group2-group3
OTU006	-0.093103795	0.906861946	group2-group3
OTU007	-0.551488956	0.289544588	group2-group3
OTU008	-1.059069529	0.072165846	group2-group3
OTU009	0.819753523	0.195149012	group2-group3
OTU010	0.052278722	0.91718798	group2-group3
OTU011	-0.230680408	0.67387243	group2-group3
OTU012	0.544811159	0.478105	group2-group3
OTU013	0.498075228	0.398930816	group2-group3
OTU014	0.217961687	0.696374509	group2-group3
OTU015	-0.509104709	0.34227836	group2-group3
OTU016	0.370321003	0.633720502	group2-group3
OTU017	-0.119332993	0.83578466	group2-group3
OTU018	0.52600751	0.263162741	group2-group3
OTU019	0.543310055	0.394698686	group2-group3
OTU020	0.659793397	0.302310011	group2-group3
OTU021	0.36605674	0.544483152	group2-group3
OTU022	0.121317108	0.828370125	group2-group3
OTU023	0.58073703	0.292496425	group2-group3
OTU024	1.293948655	0.019414362	group2-group3
OTU025	-0.127722192	0.837978529	group2-group3
OTU026	-1.457354904	0.051162322	group2-group3
OTU027	0.07409471	0.909627378	group2-group3
OTU028	0.848152918	0.261882472	group2-group3
OTU029	-0.575901851	0.3061657	group2-group3
OTU030	0.237547987	0.79598916	group2-group3
OTU031	0.283067839	0.72550039	group2-group3
OTU032	-0.958463	0.128608474	group2-group3
OTU033	-0.072389961	0.923602928	group2-group3
OTU034	-2.005264278	0.020167549	group2-group3
OTU035	0.031045832	0.960509908	group2-group3
OTU036	-0.073604805	0.903189178	group2-group3
OTU037	0.059367807	0.929916199	group2-group3
OTU038	-0.239009716	0.683711334	group2-group3
OTU039	-0.582423745	0.436691054	group2-group3
OTU040	-0.296176197	0.656188962	group2-group3
OTU041	-0.150934146	0.787942526	group2-group3
OTU042	-0.746397549	0.149604501	group2-group3
OTU043	0.443903611	0.593964722	group2-group3
OTU044	-0.322438018	0.528750352	group2-group3
OTU045	0.414881392	0.624707976	group2-group3
OTU046	0.439813581	0.541148182	group2-group3
OTU047	0.151520039	0.827701568	group2-group3
OTU048	1.237499808	0.037430629	group2-group3
OTU049	1.314881012	0.007512967	group2-group3
OTU050	1.733342309	0.010476662	group2-group3
OTU051	0.149622952	0.827337837	group2-group3
OTU052	0.600212444	0.294460038	group2-group3
OTU053	0.762604855	0.194215296	group2-group3
OTU054	-0.056509644	0.944816359	group2-group3
OTU055	0.525156998	0.390273281	group2-group3
OTU056	0.262947382	0.733688795	group2-group3
OTU057	0.684868802	0.398374074	group2-group3
OTU058	0.381338684	0.499275429	group2-group3
OTU059	0.362544181	0.672528319	group2-group3
OTU060	1.814090946	0.033143667	group2-group3
OTU061	3.315014932	0.003466334	group2-group3
OTU062	0.985017603	0.298129726	group2-group3
OTU063	-0.003948594	0.993841653	group2-group3
OTU064	-0.571420607	0.458391134	group2-group3
OTU065	-0.393288658	0.538983724	group2-group3
OTU066	0.827613571	0.334671846	group2-group3
OTU067	-0.052933941	0.948802406	group2-group3
OTU068	-0.492811076	0.505473945	group2-group3
OTU069	0.367581229	0.668841706	group2-group3
OTU070	0.771421478	0.249643245	group2-group3
OTU071	-0.608816883	0.552933618	group2-group3
OTU072	0.359015743	0.686171242	group2-group3
OTU073	0.353753239	0.616508832	group2-group3
OTU074	-0.341042502	0.694573528	group2-group3
OTU075	1.790376434	0.152762816	group2-group3
OTU076	-0.159532978	0.817319941	group2-group3
OTU077	-0.167562356	0.795610319	group2-group3
OTU078	-6.054681766	0.001069337	group2-group3
OTU079	0.412390196	0.574907325	group2-group3
OTU080	-0.295956899	0.699362107	group2-group3
OTU081	0.553740068	0.505901049	group2-group3
OTU082	0.301967482	0.712239043	group2-group3
OTU083	-0.366980102	0.654802484	group2-group3
OTU084	-1.238933835	0.25202685	group2-group3
OTU085	3.951093876	0.002803712	group2-group3
OTU086	-0.278797772	0.699066329	group2-group3
OTU087	1.010498865	0.13926946	group2-group3
OTU088	-1.38941674	0.233889655	group2-group3
OTU089	0.757684998	0.160741058	group2-group3
OTU090	0.248523405	0.665205065	group2-group3
OTU091	0.19657848	0.68861427	group2-group3
OTU092	-0.812767076	0.260728232	group2-group3
OTU093	0.275517155	0.723032702	group2-group3
OTU094	-0.581318588	0.333810357	group2-group3
OTU095	-0.123663647	0.865354982	group2-group3
OTU096	0.193557731	0.790102571	group2-group3
OTU097	-0.872754645	0.249610685	group2-group3
OTU098	1.599034527	0.069031762	group2-group3
OTU099	0.312236774	0.608118387	group2-group3
OTU100	0.094827002	0.924338333	group2-group3
OTU101	0.261777978	0.757504985	group2-group3
OTU102	-0.150485301	0.819968338	group2-group3
OTU103	0.659648322	0.333769081	group2-group3
OTU104	1.077198043	0.242268967	group2-group3
OTU105	0.378272702	0.735040388	group2-group3
OTU106	0.570533015	0.593204464	group2-group3
OTU107	-2.009481254	0.001435263	group2-group3
OTU108	0.34869476	0.635194744	group2-group3
OTU109	-0.211814426	0.783358559	group2-group3
OTU110	0.331725687	0.637070296	group2-group3
OTU111	0.277017051	0.684279451	group2-group3
OTU112	-0.592618249	0.495427598	group2-group3
OTU113	1.211408968	0.077200054	group2-group3
OTU114	0.529873313	0.397864402	group2-group3
OTU115	-0.063491673	0.925151434	group2-group3
OTU116	1.71496333	0.067275439	group2-group3
OTU117	3.754189859	0.002737452	group2-group3
OTU118	-0.680315657	0.42842707	group2-group3
OTU119	0.331302393	0.685941752	group2-group3
OTU120	-0.207885812	0.727847994	group2-group3
OTU121	0.354576579	0.652157588	group2-group3
OTU122	-0.140856231	0.817720559	group2-group3
OTU123	2.154136169	0.015849859	group2-group3
OTU124	0.228869649	0.733811846	group2-group3
OTU125	1.049850821	0.093122127	group2-group3
OTU126	-1.232867833	0.223253808	group2-group3
OTU127	0.812977641	0.301708592	group2-group3
OTU128	2.184739725	0.011211265	group2-group3
OTU129	-0.065286095	0.935014971	group2-group3
OTU130	-0.419758489	0.620915664	group2-group3
OTU131	-5.372927882	0.010206783	group2-group3
OTU132	1.47232724	0.088586007	group2-group3
OTU133	0.994842842	0.093439678	group2-group3
OTU134	-1.611774785	0.011405067	group2-group3
OTU135	-0.060097238	0.96498491	group2-group3
OTU136	0.954916805	0.228780326	group2-group3
OTU137	0.780120678	0.273944901	group2-group3
OTU138	1.552612662	0.035509511	group2-group3
OTU139	1.131785387	0.177161981	group2-group3
OTU140	-0.292257654	0.798010824	group2-group3
OTU141	0.381040973	0.58569021	group2-group3
OTU142	2.716656079	0.000805677	group2-group3
OTU143	-0.043652959	0.955404314	group2-group3
OTU144	-0.044623668	0.946276525	group2-group3
OTU145	0.065098574	0.925279555	group2-group3
OTU146	-1.660663433	0.009211106	group2-group3
OTU147	-1.335856031	0.054041708	group2-group3
OTU148	-0.984025601	0.193611053	group2-group3
OTU149	-0.641778998	0.333535176	group2-group3
OTU150	0.870510486	0.279583014	group2-group3
OTU151	-4.45121574	0.002917249	group2-group3
OTU152	-0.160640576	0.845610349	group2-group3
OTU153	0.154312893	0.85525605	group2-group3
OTU154	-0.459684242	0.59431434	group2-group3
OTU155	-0.248067135	0.661419138	group2-group3
OTU156	0.023416515	0.972779991	group2-group3
OTU157	0.548732393	0.508572931	group2-group3
OTU158	0.045460992	0.949568285	group2-group3
OTU159	-1.774212993	0.099688183	group2-group3
OTU160	1.391739911	0.08371566	group2-group3
OTU161	0.770205297	0.277764243	group2-group3
OTU162	0.164981281	0.848788043	group2-group3
OTU163	-2.524963173	0.036767231	group2-group3
OTU164	0.214287171	0.7623885	group2-group3
OTU165	0.544121519	0.452528452	group2-group3
OTU166	0.080480408	0.911191953	group2-group3
OTU167	1.654494614	0.044177552	group2-group3
OTU168	0.49085557	0.466543426	group2-group3
OTU169	0.629189056	0.438399648	group2-group3
OTU170	0.788175927	0.407686976	group2-group3
OTU171	-0.615528351	0.403657318	group2-group3
OTU172	1.265760047	0.216328501	group2-group3
OTU173	0.828570409	0.344308505	group2-group3
OTU174	1.164959828	0.269274212	group2-group3
OTU175	-1.180458099	0.144213736	group2-group3
OTU176	-1.757547416	0.017372433	group2-group3
OTU177	-0.171049652	0.820538746	group2-group3
OTU178	-1.33270378	0.119505791	group2-group3
OTU179	-1.597904557	0.054221829	group2-group3
OTU180	-2.324565148	0.048792655	group2-group3
OTU181	-2.65241511	0.010206972	group2-group3
OTU182	1.808743252	0.102574654	group2-group3
OTU183	0.754093736	0.267789613	group2-group3
OTU184	-0.363450685	0.567545517	group2-group3
OTU185	1.049206817	0.375183919	group2-group3
OTU186	0.602969882	0.39801757	group2-group3
OTU187	0.173799657	0.841110046	group2-group3
OTU188	0.247343763	0.651506965	group2-group3
OTU189	1.497275005	0.02610674	group2-group3
OTU190	0.852143504	0.226692309	group2-group3
OTU191	1.891092822	0.042962733	group2-group3
